latent_index,spearman,p_value
1291,0.49830631540856307,1.3223727592356014e-07
1292,-0.3775251502566694,0.00010790348953942549
1293,,
1294,,
1295,-0.14664398420021754,0.14542406859589604
1296,,
1297,,
1298,,
1299,,
1300,,
1301,0.2907256891118889,0.003342306838408559
1302,,
1303,0.2429904859728132,0.01485137556925025
1304,,
1305,,
1306,,
1307,,
1308,,
1309,,
1310,0.1060735620225569,0.29354975599568434
1311,,
1312,,
1313,,
1314,,
1315,0.33871291972196904,0.0005667947090494012
1316,,
1317,,
1318,-0.22299630660645242,0.02574161183982965
1319,0.18237787919621945,0.0693530333221419
1320,-0.11161216573058541,0.26892235862097075
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,0.026582897536908245,0.7929103649028441
1328,-0.4413241043452491,4.307207591555168e-06
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,-0.017059859525379265,0.8662166956878303
1336,,
1337,,
1338,-0.03724005916795769,0.7129878929595799
1339,0.5260953444138502,1.8958911827818673e-08
1340,,
1341,-0.23896404709081195,0.016647775105343696
1342,,
1343,,
1344,,
1345,,
1346,,
1347,-0.44165414031918365,4.2285979385163305e-06
1348,-0.40632828980004626,2.7328813733911474e-05
1349,,
1350,,
1351,-0.055500049507644325,0.5833858622002464
1352,,
1353,0.36348962038334465,0.00020145385710696367
1354,,
1355,0.4111528156735619,2.1440331521647138e-05
1356,-0.40356451663736487,3.135213515219057e-05
1357,,
1358,,
1359,,
1360,0.4919156188223763,2.0181869197604759e-07
1361,0.15177454343138153,0.13170536586601236
1362,,
1363,0.06099664863717208,0.5466021977850872
1364,,
1365,,
1366,0.317374593843584,0.0012933404137058355
1367,0.00731479731320342,0.9424194454845358
1368,,
1369,,
1370,,
1371,,
1372,,
1373,0.20516694186417608,0.040588159383286034
1374,,
1375,,
1376,,
1377,-0.5182524895423516,3.3385800401841596e-08
1378,,
1379,,
1380,,
1381,,
1382,0.20869674795398008,0.037184509185171986
1383,,
1384,,
1385,,
